Seating Capacity,Average Meal Price,Weekend Reservations,Weekday Reservations,Revenue,Marketing&Followers,Location_Downtown,Location_Rural,Location_Suburban,Cuisine_American,Cuisine_French,Cuisine_Indian,Cuisine_Italian,Cuisine_Japanese,Cuisine_Mexican
38,73.98,13,4,638945.52,-0.8705436059231739,False,True,False,False,False,False,False,True,False
76,28.11,48,6,490207.83,0.7127616380051163,True,False,False,False,False,False,False,False,True
48,48.29,27,14,541368.62,-0.12208462634196923,False,True,False,False,False,False,True,False,False
34,51.55,9,17,404556.8,-1.5910777945869923,False,True,False,False,False,False,True,False,False
88,75.98,37,26,1491046.35,0.3141232811721406,True,False,False,False,False,False,False,True,False
79,35.69,27,22,644220.9,2.870336648250173,True,False,False,False,False,True,False,False,False
49,35.3,12,28,400348.65,-0.3786828990386064,False,True,False,False,False,False,False,False,True
61,73.65,56,23,1014153.65,-0.10685979472983297,False,False,True,False,False,False,False,True,False
37,73.75,27,24,635606.1,0.11935733795889975,False,True,False,False,False,False,False,True,False
32,59.8,12,19,452920.65,-0.5465761631855908,False,True,False,False,True,False,False,False,False
48,59.25,16,45,656474.6,-0.13532445300405677,False,True,False,False,True,False,False,False,False
40,32.11,4,20,295333.14,-0.24612261512300207,False,True,False,False,False,True,False,False,False
77,35.6,46,39,645268.3,4.033426571269446,True,False,False,False,False,False,False,False,True
42,45.55,4,39,437468.35,-0.9860654699418069,False,True,False,True,False,False,False,False,False
59,63.22,18,1,836011.9,0.16633407552157506,False,False,True,False,True,False,False,False,False
87,38.26,38,47,760413.88,-0.6199007438882181,True,False,False,True,False,False,False,False,False
61,47.7,30,48,651068.0,-1.3288345138242343,False,False,True,False,False,False,True,False,False
56,65.87,24,41,836123.03,0.5429732751133822,False,False,True,False,True,False,False,False,False
60,55.73,50,45,767869.7,-0.8406861179046734,False,False,True,False,True,False,False,False,False
59,34.28,0,43,464653.52,-1.1025884292121901,False,False,True,False,False,False,False,False,True
72,33.91,37,10,561710.45,-0.659512235803284,True,False,False,False,False,True,False,False,False
76,39.61,65,65,676879.89,0.25161787471104907,True,False,False,True,False,False,False,False,False
53,64.15,40,46,779565.05,-1.0018669791417794,False,False,True,False,True,False,False,False,False
57,56.0,41,14,715699.85,-0.6968170903661521,False,False,True,False,True,False,False,False,False
77,28.9,16,25,511266.45,2.7486204725013113,True,False,False,False,False,False,False,False,True
75,35.47,35,2,599518.34,-0.9161484296686743,True,False,False,False,False,False,False,False,True
82,37.69,51,17,687854.64,-1.3548915790461729,True,False,False,False,False,True,False,False,False
41,43.3,13,19,414143.9,0.028814883823451622,False,True,False,True,False,False,False,False,False
32,53.33,16,23,392170.36,-0.5752429492341495,False,True,False,False,False,False,True,False,False
35,30.67,27,15,256525.49,-0.43632561854408985,False,True,False,False,False,True,False,False,False
68,47.24,5,9,724252.64,0.010846762889088448,False,False,True,False,False,False,True,False,False
40,70.4,8,21,646783.75,-0.7940116748166286,False,True,False,False,False,False,False,True,False
53,59.05,10,19,703970.55,-0.5055647739672046,False,False,True,False,True,False,False,False,False
64,39.52,7,48,580250.12,0.5576728767365313,False,False,True,True,False,False,False,False,False
31,38.6,14,15,274742.8,-1.7067742690812178,False,True,False,False,False,True,False,False,False
64,55.16,51,9,790777.86,0.48699023384450846,False,False,True,False,True,False,False,False,False
46,42.27,22,25,445708.47,0.5324046618720255,False,True,False,True,False,False,False,False,False
31,35.0,5,16,268505.2,1.0873261058789498,False,True,False,True,False,False,False,False,False
76,35.69,38,11,614599.82,0.3412816083461252,True,False,False,True,False,False,False,False,False
45,59.49,10,6,601664.29,-0.9704819458832805,False,True,False,False,True,False,False,False,False
74,39.25,4,60,667565.4,-0.5878329466570849,True,False,False,False,False,True,False,False,False
45,26.59,30,32,283286.23,0.5239137225969267,False,True,False,False,False,False,False,False,True
48,61.1,15,43,668794.55,-0.555998489684745,False,True,False,False,True,False,False,False,False
71,42.46,29,61,686243.79,2.918823530874086,True,False,False,True,False,False,False,False,False
84,32.52,24,17,628872.49,0.11624333825832837,True,False,False,False,False,True,False,False,False
33,70.64,11,10,534359.77,-1.2273551391308202,False,True,False,False,False,False,False,True,False
51,55.03,2,11,638362.61,-0.6694484199842485,False,False,True,False,False,False,True,False,False
79,40.63,52,31,732451.07,1.0634037942821661,True,False,False,True,False,False,False,False,False
54,66.73,3,35,810162.52,-1.23820265573325,False,False,True,False,False,False,False,True,False
67,31.91,49,35,490291.52,-0.3699043387190873,False,False,True,False,False,False,False,False,True
53,41.51,47,9,501334.08,-0.9520735138555321,False,False,True,True,False,False,False,False,False
70,65.3,14,40,1030821.95,-0.7152512813812588,True,False,False,False,False,False,False,True,False
67,36.0,31,2,544343.65,-0.7774204901970715,False,False,True,True,False,False,False,False,False
89,56.72,84,47,1140222.94,2.634817626064906,True,False,False,False,True,False,False,False,False
55,31.5,1,47,397829.4,-1.5943382057772766,False,False,True,False,False,True,False,False,False
49,67.85,45,48,759680.25,-1.6557062947416072,False,True,False,False,False,False,False,True,False
49,35.0,47,38,404369.5,0.25753296026781597,False,True,False,False,False,True,False,False,False
83,59.09,66,75,1103481.72,-1.3654656457846297,True,False,False,False,True,False,False,False,False
39,64.8,24,15,581548.05,-0.40897513734073804,False,True,False,False,True,False,False,False,False
